de,en,cat,ex,pos,tr
sich fühlen,to feel,Goethe A2,Wie fühlen Sie sich?,,hissetmek
der Führerschein,driver's license,Goethe A2,Hast du den Führerschein?,,ehliyet
die Führung,guided tour,Goethe A2,Die nächste Führung beginnt um 15 Uhr.,,rehberli tur
die Fundsachen,lost and found,Goethe A2,Sie können dort bei den Fundsachen schauen.,,kayıp eşya
für,for,Goethe A2,Das Paket ist für Sie.,,için
furchtbar,terrible,Goethe A2,Er hat furchtbare Schmerzen.,,korkunç
der Fuß,foot,Goethe A2,Der linke Fuß tut mir weh.,,ayak
der Fußball,"football, soccer",Goethe A2,Spielt ihr gern Fußball?,,futbol
die Gabel,fork,Goethe A2,Kann ich bitte eine Gabel haben?,,çatal
ganz,"whole, quite",Goethe A2,Morgen haben wir den ganzen Tag Schule.,,"tam, oldukça"
die Garage,garage,Goethe A2,Hier ist eine Garage für dein Auto.,,garaj
der Garten,garden,Goethe A2,Wir haben leider keinen Garten.,,bahçe
der Gast,guest,Goethe A2,Heute Abend haben wir Gäste.,,misafir
geben,to give,Goethe A2,Kannst du mir mal deinen Stift geben?,,vermek
geboren,born,Goethe A2,Ich bin in Zagreb geboren.,,doğmuş
das Geburtsjahr,year of birth,Goethe A2,"Das Geburtsjahr Ihres Sohnes, bitte?",,doğum yılı
der Geburtsort,place of birth,Goethe A2,Bitte tragen Sie Ihren Geburtsort ein.,,doğum yeri
der Geburtstag,birthday,Goethe A2,Herzlichen Glückwunsch zum Geburtstag!,,doğum günü
geehrt-,"honored, dear (formal)",Goethe A2,"Sehr geehrte Damen und Herren,",,sayın
gefährlich,dangerous,Goethe A2,Das ist gefährlich.,,tehlikeli
gefallen,"to like, please",Goethe A2,Das Bild gefällt mir.,,hoşuna gitmek
gegen,against,Goethe A2,Ich bin gegen diesen Vorschlag.,,karşı
die Flasche,bottle,Goethe A2,"Eine Flasche Mineralwasser, bitte!",,şişe
das Fleisch,meat,Goethe A2,Fleisch mag ich nicht.,,et
fleißig,hardworking,Goethe A2,Ibrahim ist sehr fleißig.,,çalışkan
abfliegen,to depart (flight),Goethe A2,Wann fliegst du ab?,,kalkmak (uçak)
fliegen,to fly,Goethe A2,Ich fliege in den Ferien nach Spanien.,,uçmak
der Flohmarkt,flea market,Goethe A2,Ich gehe gern auf den Flohmarkt.,,bit pazarı
der Flug,flight,Goethe A2,Ich möchte einen Flug nach Kanada buchen.,,uçuş
der Flughafen,airport,Goethe A2,Kannst du mich zum Flughafen bringen?,,havalimanı
das Flugzeug,airplane,Goethe A2,Das Flugzeug aus Berlin hat Verspätung.,,uçak
der Fluss,river,Goethe A2,Der Rhein ist ein großer Fluss.,,nehir
das Formular,form (document),Goethe A2,Sie müssen dieses Formular ausfüllen.,,form
der Fotoapparat,camera,Goethe A2,Ich möchte mir einen Fotoapparat kaufen.,,fotoğraf makinesi
fotografieren,to photograph,Goethe A2,Ich fotografiere gern.,,fotoğraf çekmek
das Foto,photo,Goethe A2,Darf ich ein Foto machen?,,fotoğraf
die Frage,question,Goethe A2,Ich habe eine Frage.,,soru
fragen,to ask,Goethe A2,Ich möchte Sie etwas fragen.,,sormak
die Frau,"woman, Mrs.",Goethe A2,Das ist Frau Becker.,,"kadın, bayan"
frei,"free, vacant",Goethe A2,"Entschuldigung, ist dieser Platz noch frei?",,"boş, serbest"
freiwillig,voluntary,Goethe A2,Manchmal bleibe ich freiwillig länger im Büro.,,gönüllü
die Freizeit,free time,Goethe A2,In meiner Freizeit spiele ich oft Fußball.,,boş zaman
fremd,"foreign, unfamiliar",Goethe A2,Ich reise gern in fremde Länder.,,yabancı
sich freuen,to be glad,Goethe A2,Die Kinder freuen sich schon auf die Ferien.,,sevinmek
der Freund,friend (m.),Goethe A2,Das ist ein Freund von mir.,,erkek arkadaş
die Freundin,friend (f.),Goethe A2,Das ist meine Freundin Susanne.,,kız arkadaş
freundlich,friendly,Goethe A2,Er ist immer sehr freundlich zu mir.,,"samimi, güler yüzlü"
frisch,fresh,Goethe A2,Das Brot ist noch ganz frisch.,,taze
froh,glad,Goethe A2,"Ich bin froh, dass du kommen kannst.",,"memnun, mutlu"
früh,early,Goethe A2,Ich muss morgen sehr früh aufstehen.,,erken
gewinnen,to win,Goethe A2,Unsere Mannschaft hat gewonnen.,,kazanmak
das Gewitter,thunderstorm,Goethe A2,"Ich glaube, es gibt heute ein Gewitter.",,fırtına
die Gitarre,guitar,Goethe A2,Er kann gut Gitarre spielen.,,gitar
das Glas,glass,Goethe A2,Bitte noch ein Glas Apfelsaft!,,bardak
glauben,"to believe, think",Goethe A2,"Ich glaube, er kommt gleich.",,"inanmak, sanmak"
gleich,same / right away,Goethe A2,Ich komme gleich.,,aynı / hemen
das Gleis,platform track,Goethe A2,Der ICE nach Berlin hält heute an Gleis 12.,,"peron, ray"
das Glück,luck,Goethe A2,Viel Glück!,,şans
glücklich,happy,Goethe A2,Meine Tochter ist glücklich verheiratet.,,mutlu
der Glückwunsch,congratulations,Goethe A2,Herzlichen Glückwunsch zum Geburtstag!,,tebrik
gratulieren,to congratulate,Goethe A2,Ich gratuliere dir!,,tebrik etmek
grillen,"to grill, barbecue",Goethe A2,Heute grillen wir im Garten.,,mangal yapmak
die Grippe,flu,Goethe A2,Ich habe eine Grippe und kann nicht kommen.,,grip
groß,"big, tall",Goethe A2,Mein Bruder und ich sind gleich groß.,,"büyük, uzun boylu"
die Größe,size,Goethe A2,Haben Sie das T-Shirt auch in Größe M?,,"beden, boyut"
die Gruppe,group,Goethe A2,Die erste Gruppe beginnt um 16 Uhr.,,grup
der Gruß,greeting,Goethe A2,Viele Grüße an Ihre Frau.,,selam
gültig sein,to be valid,Goethe A2,Der Pass ist nicht mehr gültig.,,geçerli olmak
günstig,"affordable, favorable",Goethe A2,Ich suche ein günstiges Sofa.,,uygun fiyatlı
gut,good,Goethe A2,Das finde ich gut.,,iyi
das Haar,hair,Goethe A2,Sie hat lange Haare.,,saç
haben,to have,Goethe A2,Ich habe ein neues Auto.,,sahip olmak
das Hähnchen,chicken (food),Goethe A2,"Ein Hähnchen mit Pommes, bitte!",,tavuk (yemek)
das Gegenteil,opposite,Goethe A2,Das Gegenteil von „klein“ ist „groß“.,,zıt
gegenüber,"across from, opposite",Goethe A2,Die Post ist gegenüber vom Bahnhof.,,karşısında
das Gehalt,salary,Goethe A2,Sie ist mit ihrem Gehalt zufrieden.,,maaş
gehen,"to go, walk",Goethe A2,"Ich weiß nicht, wie das geht.",,gitmek
gehören,to belong to,Goethe A2,Gehört der Stift dir?,,ait olmak
das Geld,money,Goethe A2,Hast du noch Geld?,,para
die Geldbörse,"wallet, purse",Goethe A2,Sie hat ihre Geldbörse verloren.,,cüzdan
das Gemüse,vegetables,Goethe A2,Wir kaufen das Gemüse immer auf dem Markt.,,sebze
genau,exact(ly),Goethe A2,Es ist genau acht Uhr.,,tam olarak
genug,enough,Goethe A2,Es ist noch genug Pizza da.,,yeterli
das Gepäck,luggage,Goethe A2,Wollen Sie Ihr Gepäck mitnehmen?,,bagaj
gerade,just now,Goethe A2,Was machst du gerade?,,tam şu anda
geradeaus,straight ahead,Goethe A2,Gehen Sie immer geradeaus!,,"doğru, dümdüz"
das Gerät,device,Goethe A2,Elektrogeräte finden Sie im dritten Stock.,,cihaz
das Gericht,dish (food),Goethe A2,Mein Lieblingsgericht ist Pizza.,,yemek (tabak)
gern,gladly,Goethe A2,Ich helfe Ihnen gern.,,memnuniyetle
das Geschäft,"shop, business",Goethe A2,Die Geschäfte schließen um 18.30 Uhr.,,"dükkan, iş"
das Geschenk,gift,Goethe A2,Danke für das schöne Geschenk.,,hediye
die Geschichte,story / history,Goethe A2,Erzählst du mir eine Geschichte?,,hikaye / tarih
das Geschirr,"dishes, crockery",Goethe A2,Stellst du bitte das Geschirr in den Schrank?,,bulaşık takımı
das Gesicht,face,Goethe A2,Wasch dir bitte das Gesicht.,,yüz
das Gespräch,conversation,Goethe A2,Das Gespräch mit Frau Kunz ist um 14 Uhr.,,görüşme
gestern,yesterday,Goethe A2,Gestern wollte ich dich anrufen.,,dün
gesund,healthy,Goethe A2,Ich hatte Grippe. Jetzt bin ich wieder gesund.,,sağlıklı
die Gesundheit,health,Goethe A2,Gesundheit! Sind Sie erkältet?,,sağlık
das Getränk,"drink, beverage",Goethe A2,Mein Lieblingsgetränk ist Tomatensaft.,,içecek
herein/rein,"in, come in",Goethe A2,Herein! Die Tür ist offen.,,içeri (gel)
der Herd,stove,Goethe A2,In der neuen Küche fehlt noch der Herd.,,ocak (mutfak)
der Herr,"Mr., gentleman",Goethe A2,"Guten Tag, Herr Sommer!",,"bay, beyefendi"
herstellen,"to manufacture, produce",Goethe A2,In unserer Firma stellen wir Möbel her.,,üretmek
herunterladen,to download,Goethe A2,Er lädt die Musik aus dem Internet herunter.,,indirmek
herzlich,"warm, cordial",Goethe A2,Herzlichen Glückwunsch!,,"içten, candan"
heute,today,Goethe A2,Heute ist ein schöner Tag.,,bugün
hier,here,Goethe A2,Hier wohne ich.,,burada
die Hilfe,help,Goethe A2,Hilfe! Bitte helfen Sie mir!,,yardım
der Himmel,sky,Goethe A2,Der Himmel ist blau und es gibt keine Wolken.,,gökyüzü
hin,there (direction),Goethe A2,Wo gehst du hin?,,oraya (yön)
hinten,at the back,Goethe A2,Die Tür zum Aussteigen ist hinten.,,arkada
hinter,behind,Goethe A2,Hinter dem Haus haben wir einen Garten.,,arkasında
das Hobby,hobby,Goethe A2,Meine Hobbys sind Joggen und Schwimmen.,,hobi
hoch,"high, tall",Goethe A2,Der Mount Everest ist circa 8.880 Meter hoch.,,yüksek
die Hochzeit,wedding,Goethe A2,Zu seiner Hochzeit kommen mehr als einhundert Gäste.,,düğün
hoffen,to hope,Goethe A2,"Ich hoffe, dass es dir gut geht.",,ummak
hoffentlich,hopefully,Goethe A2,Hoffentlich hat unser Zug keine Verspätung.,,umarım
holen,"to fetch, get",Goethe A2,Soll ich uns etwas zu trinken holen?,,"getirmek, almak"
die Homepage,"homepage, website",Goethe A2,Kennst du eine Homepage mit Deutschübungen?,,web sitesi
hören,"to hear, listen",Goethe A2,Hör mal! Was ist das?,,"duymak, dinlemek"
die Hose,"trousers, pants",Goethe A2,Kann ich die Hose waschen?,,pantolon
das Hotel,hotel,Goethe A2,Im Urlaub sind wir in einem Hotel am Meer.,,otel
der Hund,dog,Goethe A2,Magst du Hunde?,,köpek
der Hunger,hunger,Goethe A2,Ich habe Hunger! Wann können wir endlich essen?,,açlık
husten,to cough,Goethe A2,Sie hustet seit zwei Tagen.,,öksürmek
die Halle,hall,Goethe A2,Wo ist die neue Sporthalle?,,salon
hallo,hello,Goethe A2,Hallo Inge! Wie geht's?,,merhaba
der Hals,"neck, throat",Goethe A2,Mir tut der Hals weh.,,"boyun, boğaz"
halten,to stop / to hold,Goethe A2,Dieser Zug hält nicht in Rüdesheim.,,durmak / tutmak
die Haltestelle,(bus/tram) stop,Goethe A2,An der nächsten Haltestelle müssen Sie aussteigen.,,durak
der Hamburger,hamburger,Goethe A2,"Einen Hamburger ohne Salat, bitte.",,hamburger
die Hand,hand,Goethe A2,Wasch dir bitte die Hände vor dem Essen.,,el
das Handtuch,towel,Goethe A2,Gibst du mir bitte ein frisches Handtuch?,,havlu
das Handy,mobile phone,Goethe A2,In der Schule bitte die Handys ausmachen!,,cep telefonu
hängen,to hang,Goethe A2,Im Museum hängen moderne Bilder.,,"asılı olmak, asmak"
hart,hard,Goethe A2,Ich finde das Bett zu hart.,,sert
hässlich,ugly,Goethe A2,Ich finde das Kleid hässlich.,,çirkin
die Hauptstadt,capital city,Goethe A2,Berlin ist die Hauptstadt von Deutschland.,,başkent
das Haus,house,Goethe A2,In welchem Haus wohnst du?,,ev
der Haushalt,household,Goethe A2,Wer macht bei euch den Haushalt?,,ev işleri
das Heft,notebook,Goethe A2,Hast du dein Heft dabei?,,defter
die Heimat,homeland,Goethe A2,Ich komme aus der Schweiz. Das ist meine Heimat.,,anavatan
heiraten,to marry,Goethe A2,Meine Schwester heiratet nächsten Monat.,,evlenmek
heiß,hot,Goethe A2,"Vorsicht, der Tee ist heiß!",,sıcak (yüksek)
heißen,to be called,Goethe A2,Ich heiße Charlotte Meier.,,adı olmak
die Heizung,heating,Goethe A2,Es ist kalt. Ist die Heizung kaputt?,,"kalorifer, ısıtma"
helfen,to help,Goethe A2,Würden Sie mir bitte helfen?,,yardım etmek
hell,"bright, light",Goethe A2,Mein Zimmer ist sehr hell.,,aydınlık
das Hemd,shirt,Goethe A2,Nick trägt heute ein neues Hemd.,,gömlek
her,here (towards speaker),Goethe A2,Komm bitte mal her!,,buraya (yön)
heraus/raus,out,Goethe A2,Möchtet ihr nicht rauskommen?,,dışarı
jung,young,Goethe A2,Claudia ist 21. – Was? Noch so jung?,,genç
der Junge,boy,Goethe A2,13 Jungen und 15 Mädchen.,,erkek çocuk
der Kaffee,coffee,Goethe A2,Zum Frühstück trinke ich immer Kaffee.,,kahve
der Kalender,calendar,Goethe A2,Ich schreibe alle Termine in meinen Kalender.,,takvim
kalt,cold,Goethe A2,Heute ist es sehr kalt.,,soğuk
die Kamera,camera,Goethe A2,Hannes hat eine neue Kamera.,,kamera
kaputt,broken,Goethe A2,Unsere Waschmaschine ist kaputt.,,"bozuk, kırık"
die Karte,card / map / ticket,Goethe A2,Wollen wir Karten spielen?,,kart / harita / bilet
die Kartoffel,potato,Goethe A2,Für Pommes frites braucht man Kartoffeln.,,patates
der Käse,cheese,Goethe A2,Isst du lieber Käse oder Wurst?,,peynir
die Kasse,"checkout, cash register",Goethe A2,Zahlen Sie bitte an der Kasse.,,kasa
die Katze,cat,Goethe A2,Meine Tochter wünscht sich eine Katze.,,kedi
kaufen,to buy,Goethe A2,Tim kauft sich ein neues Auto.,,satın almak
das Kaufhaus,department store,Goethe A2,Meine Pullover kaufe ich immer im Kaufhaus.,,büyük mağaza
kein,"no, not a",Goethe A2,Ich habe heute leider keine Zeit.,,"hiç, hiçbir"
der Keller,"cellar, basement",Goethe A2,Bitte bring die Kartoffeln in den Keller!,,"bodrum, kiler"
kennen,to know (someone/something),Goethe A2,Kennen Sie diese Frau?,,tanımak
kennenlernen,to get to know,Goethe A2,Wo habt ihr euch kennengelernt?,,tanışmak
die Kenntnisse,"knowledge, skills",Goethe A2,Deine Deutschkenntnisse sind sehr gut!,,"bilgi, beceri"
die Kette,"necklace, chain",Goethe A2,Meine Mutter bekommt eine schöne Kette.,,"zincir, kolye"
das Kind,child,Goethe A2,Wie viele Kinder haben Sie?,,çocuk
der Kindergarten,kindergarten,Goethe A2,Die kleine Laura geht schon in den Kindergarten.,,anaokulu
das Kino,cinema,Goethe A2,Gehen wir heute Abend zusammen ins Kino?,,sinema
die Idee,idea,Goethe A2,Hast du eine gute Idee?,,fikir
immer,always,Goethe A2,Frau Bast kommt immer zu spät.,,her zaman
in,in,Goethe A2,Ich wohne in Wiesbaden.,,içinde
die Information,information,Goethe A2,"Wenn Sie Fragen haben, gehen Sie zur Information.",,bilgi
sich informieren,"to find out about, inform oneself",Goethe A2,Hast du dich über die Prüfung informiert?,,bilgi edinmek
die Insel,island,Goethe A2,Rügen ist die größte deutsche Insel.,,ada
das Instrument,instrument (music),Goethe A2,Spielen Sie auch ein Instrument?,,müzik aleti
intelligent,intelligent,Goethe A2,Einstein war sehr intelligent.,,zeki
das Interesse,interest,Goethe A2,Ich habe viele Interessen.,,ilgi
sich interessieren,to be interested in,Goethe A2,Ich interessiere mich für Fußball.,,ilgilenmek
interessant,interesting,Goethe A2,Ich lese gerade ein interessantes Buch.,,ilginç
international,international,Goethe A2,Unser Deutschkurs ist international.,,uluslararası
das Internet,internet,Goethe A2,Das findest du im Internet.,,internet
das Interview,interview,Goethe A2,Im Radio kommt ein Interview mit deinem Lieblingssänger.,,röportaj
ja,yes,Goethe A2,Sind Sie Herr Watanabe? – Ja.,,evet
die Jacke,jacket,Goethe A2,Zieh dir eine Jacke an. Es ist kalt.,,ceket
die Jeans,jeans,Goethe A2,Ich mag Jeans lieber als Röcke.,,kot pantolon
jeder,"every, each",Goethe A2,Das Restaurant hat jeden Tag geöffnet.,,her
jemand,someone,Goethe A2,Hat jemand meinen Stift?,,biri
jetzt,now,Goethe A2,Jetzt machen wir eine Pause.,,şimdi
der Job,job,Goethe A2,Jenny hat einen neuen Job bei der Post.,,iş
joggen,to jog,Goethe A2,Ich jogge gern im Park.,,koşu yapmak
die Jugendherberge,youth hostel,Goethe A2,Wir übernachten in einer Jugendherberge.,,gençlik hosteli
der Jugendliche,"teenager, youth",Goethe A2,Viele Jugendliche hören den ganzen Tag Musik.,,genç
kostenlos,free of charge,Goethe A2,Diese Zeitschrift kostet nichts. Sie ist kostenlos.,,ücretsiz
krank,sick,Goethe A2,Ich bin krank und liege im Bett.,,hasta
das Krankenhaus,hospital,Goethe A2,Er hat sich verletzt und muss ins Krankenhaus.,,hastane
die Krankenkasse,health insurance provider,Goethe A2,Bei welcher Krankenkasse sind Sie?,,sağlık sigortası kurumu
die Krankheit,illness,Goethe A2,Welche Krankheit hat Herr Brandner?,,hastalık
der Kredit,"loan, credit",Goethe A2,Ich brauche einen Kredit von der Bank.,,kredi
die Kreuzung,intersection,Goethe A2,Fahren Sie an der nächsten Kreuzung rechts.,,kavşak
kriegen,to get (colloquial),Goethe A2,"Was kriegen Sie? – Ein Käsebrötchen, bitte.",,almak (günlük dil)
der Krimi,crime novel/show,Goethe A2,Miriam liest gern spannende Krimis.,,polisiye
die Küche,kitchen,Goethe A2,Ich suche eine neue Wohnung mit Küche und Bad.,,mutfak
der Kuchen,cake,Goethe A2,Er isst sonntags ein Stück Kuchen.,,pasta
kühl,cool,Goethe A2,Es ist kühl draußen. Zieh dir eine Jacke an.,,serin
der Kühlschrank,fridge,Goethe A2,"Haben wir noch Milch? – Ja, im Kühlschrank.",,buzdolabı
die Kultur,culture,Goethe A2,Ich finde fremde Länder und Kulturen sehr interessant.,,kültür
sich kümmern,to take care of,Goethe A2,Sie muss sich um ihre Tochter kümmern.,,ilgilenmek
der Kunde,customer,Goethe A2,"Einen Moment, bitte. Ich habe eine Kundin.",,müşteri
kündigen,"to resign, quit",Goethe A2,Ich habe heute gekündigt.,,istifa etmek
die Kunst,art,Goethe A2,Ich verstehe nichts von moderner Kunst.,,sanat
der Kurs,course,Goethe A2,Der Deutschkurs dauert zwei Monate.,,kurs
kurz,short,Goethe A2,Ricardo hat kurze Haare.,,kısa
lachen,to laugh,Goethe A2,Die Kinder lachen über den Witz.,,gülmek
der Laden,"shop, store",Goethe A2,Ich kaufe meine Kleider in einem kleinen Laden.,,dükkan
die Lampe,lamp,Goethe A2,Mach bitte die Lampe an. Es ist so dunkel.,,lamba
das Land,country,Goethe A2,Deutschland ist ein schönes Land.,,ülke
die Landschaft,landscape,Goethe A2,Die Landschaft ist sehr schön.,,"manzara, peyzaj"
der Kiosk,"kiosk, newsstand",Goethe A2,Zeitungen kannst du am Kiosk kaufen.,,büfe
die Kirche,church,Goethe A2,Diese Kirche ist fast 800 Jahre alt.,,kilise
klappen,"to work out, go well",Goethe A2,"Wie war die Reise? – Gut, es hat alles geklappt.",,"iyi gitmek, başarılı olmak"
klar,"clear, sure",Goethe A2,Kommst du mit? – Klar!,,"açık, tabii"
das Klavier,piano,Goethe A2,Jakob kann sehr gut Klavier spielen.,,piyano
das Kleid,dress,Goethe A2,Julia möchte ein rotes Kleid kaufen.,,elbise
die Kleidung,clothing,Goethe A2,Wo finde ich Kleidung?,,kıyafet
klein,small,Goethe A2,Unsere Wohnung ist sehr klein.,,küçük
klug,"smart, clever",Goethe A2,Lisa ist sehr klug. Sie bekommt immer gute Noten.,,akıllı
kochen,to cook,Goethe A2,Herr Georgi kann gut kochen.,,yemek pişirmek
der Koffer,suitcase,Goethe A2,Hast du den Koffer schon gepackt?,,bavul
der Kollege,colleague,Goethe A2,Wie heißt die neue Kollegin?,,meslektaş
komisch,"funny, strange",Goethe A2,Der Film war sehr komisch. Wir haben viel gelacht.,,"tuhaf, komik"
kommen,to come,Goethe A2,Woher kommen Sie? – Aus Frankreich.,,gelmek
können,"can, to be able to",Goethe A2,Ich kann Deutsch und Russisch.,,-ebilmek
der Kontakt,contact,Goethe A2,Ich habe wenig Kontakt zu meinen Kollegen.,,iletişim
das Konto,bank account,Goethe A2,Das Geld überweisen wir auf Ihr Konto.,,hesap (banka)
kontrollieren,"to check, inspect",Goethe A2,Können Sie bei meinem Auto das Öl kontrollieren?,,kontrol etmek
das Konzert,concert,Goethe A2,Für das Konzert am Sonntag gibt es noch Karten.,,konser
der Kopf,head,Goethe A2,Mein Kopf tut weh!,,baş
der Körper,body,Goethe A2,Ich muss etwas für meinen Körper tun.,,vücut
die Kosmetik,cosmetics,Goethe A2,Kosmetik können Sie im Erdgeschoss kaufen.,,kozmetik
kosten,to cost,Goethe A2,Wie viel kostet das Buch? – 20 Euro.,,mal olmak
der Link,link (web),Goethe A2,Ich schicke dir einen Link zu Deutschübungen.,,bağlantı (internet)
links,left,Goethe A2,Gehen Sie die nächste Straße links.,,sol
der Löffel,spoon,Goethe A2,Bitte bringen Sie mir einen Löffel.,,kaşık
das Lokal,"restaurant, pub",Goethe A2,Gibt es hier in der Nähe ein gutes Lokal?,,"lokal, mekan"
die Lüge,lie,Goethe A2,Das stimmt nicht! Das ist eine Lüge!,,yalan
lügen,to lie,Goethe A2,Du sollst nicht lügen.,,yalan söylemek
die Lust,"desire, mood for",Goethe A2,Ich habe Lust auf Schokolade.,,"istek, keyif"
lustig,funny,Goethe A2,Ich mag lustige Filme.,,"komik, eğlenceli"
machen,"to make, do",Goethe A2,Was machst du heute Abend?,,yapmak
das Mädchen,girl,Goethe A2,Junge oder Mädchen?,,kız çocuk
der Magen,stomach,Goethe A2,Mein Magen tut weh.,,mide
die Mailbox,voicemail,Goethe A2,Ich habe dir auf die Mailbox gesprochen.,,sesli mesaj kutusu
mal,"time, instance (particle)",Goethe A2,"Sag mal, wie gefällt dir mein neues Kleid?",,"bir, kere (parçacık)"
malen,to paint,Goethe A2,Mein Sohn kann gut malen.,,resim yapmak (boya ile)
man,one (impersonal),Goethe A2,Hier darf man nicht rauchen.,,insan (genel özne)
manch-,some,Goethe A2,Manche Nachbarn sind unfreundlich.,,bazı
manchmal,sometimes,Goethe A2,Manchmal essen wir im Restaurant.,,bazen
der Mann,man,Goethe A2,Mein Mann ist Polizist.,,"adam, koca"
männlich,male,Goethe A2,Bitte wählen Sie: „weiblich“ oder „männlich“.,,erkek (cinsiyet)
die Mannschaft,team,Goethe A2,Meine Lieblingsmannschaft hat 1:0 verloren.,,takım
der Mantel,coat,Goethe A2,Es ist kalt. Zieh deinen Mantel an!,,palto
der Markt,market,Goethe A2,Ich gehe heute auf den Markt.,,pazar (yer)
die Maschine,machine,Goethe A2,Die Waschmaschine funktioniert sehr gut.,,makine
das Medikament,medicine,Goethe A2,Nehmen Sie dieses Medikament dreimal pro Tag!,,ilaç
das Meer,sea,Goethe A2,Wir machen Urlaub am Meer.,,deniz
mehr,more,Goethe A2,Ich möchte mehr Taschengeld.,,daha fazla
meinen,"to mean, think",Goethe A2,Wie meinst du das?,,"kastetmek, düşünmek"
die Meinung,opinion,Goethe A2,Was ist deine Meinung dazu?,,"görüş, fikir"
meist-,most,Goethe A2,Die meisten Nachbarn kenne ich noch nicht.,,çoğu
lang,long,Goethe A2,Die Hose ist zu lang.,,uzun
lange,for a long time,Goethe A2,Wie lange fährt der Zug von Hamburg nach Berlin?,,uzun süre
langsam,slow(ly),Goethe A2,Könnten Sie bitte etwas langsamer sprechen?,,yavaş
langweilig,boring,Goethe A2,Sie findet Fußball sehr langweilig.,,sıkıcı
der Laptop,laptop,Goethe A2,Ich brauche einen neuen Laptop.,,dizüstü bilgisayar
lassen,"to let, leave",Goethe A2,Kann ich mein Auto hier stehen lassen?,,"bırakmak, izin vermek"
laufen,"to run, walk",Goethe A2,Ich gehe jeden Morgen laufen.,,"koşmak, yürümek"
laut,loud,Goethe A2,Nicht so laut! Das Baby schläft.,,gürültülü
leben,to live,Goethe A2,Sie lebt bei ihrer Schwester.,,yaşamak
das Leben,life,Goethe A2,Hier in London ist das Leben teuer.,,hayat
die Lebensmittel,"groceries, food",Goethe A2,Lebensmittel bekommen Sie im Supermarkt.,,gıda maddeleri
leer,empty,Goethe A2,Die Kanne ist fast leer.,,boş
legen,"to lay, put",Goethe A2,Legen Sie das Buch auf den Tisch.,,yatay koymak
leicht,"light, easy",Goethe A2,Die Aufgabe ist nicht leicht.,,"hafif, kolay"
leider,unfortunately,Goethe A2,Leider kann ich nicht kommen.,,maalesef
leidtun,to be sorry,Goethe A2,"Es tut mir leid, dass ich nicht kommen kann.",,üzgün olmak
leihen,"to lend, borrow",Goethe A2,Kannst du mir fünf Euro leihen?,,ödünç vermek/almak
leise,"quiet, soft (sound)",Goethe A2,Seid leise. Die anderen schlafen schon.,,sessiz
lernen,to learn,Goethe A2,Wie lange lernen Sie schon Deutsch?,,öğrenmek
lesen,to read,Goethe A2,In der Schule lesen wir ein Buch von Goethe.,,okumak
letzt-,last,Goethe A2,Was hast du letzte Woche gemacht?,,son
die Leute,people,Goethe A2,Auf der Party sind viele Leute.,,insanlar
das Licht,light,Goethe A2,Es ist so dunkel. Mach bitte das Licht an!,,ışık
lieb-,dear,Goethe A2,"Liebe Susanne, lieber Hans,",,sevgili
lieben,to love,Goethe A2,Ich liebe dich!,,sevmek
Lieblings-,favorite,Goethe A2,Meine Lieblingsfarbe ist Blau.,,favori- (önek)
das Lied,song,Goethe A2,Zum Geburtstag singen wir dir ein Lied.,,şarkı
liefern,to deliver,Goethe A2,Wir liefern Ihnen den Schrank nach Hause.,,teslim etmek
liegen,"to lie, be located",Goethe A2,Frankfurt liegt am Main.,,"yatmak, bulunmak"
der Moment,moment,Goethe A2,Warten Sie bitte einen Moment.,,"an, dakika"
morgen,tomorrow,Goethe A2,Morgen beginnt die Schule erst um zehn Uhr.,,yarın
der Motor,"engine, motor",Goethe A2,Der Motor ist kaputt.,,motor
der Motorroller,scooter,Goethe A2,Oskar fährt mit dem Motorroller zur Arbeit.,,scooter
müde,tired,Goethe A2,Ich bin müde. Ich gehe schlafen.,,yorgun
der Müll,"trash, garbage",Goethe A2,Bringst du bitte den Müll raus?,,çöp
der Mund,mouth,Goethe A2,Öffnen Sie bitte den Mund.,,ağız
das Museum,museum,Goethe A2,Im Kunstmuseum gibt es eine neue Ausstellung.,,müze
die Musik,music,Goethe A2,Wie findest du die Musik?,,müzik
müssen,"must, to have to",Goethe A2,Ich muss jeden Tag von 8 bis 18 Uhr arbeiten.,,zorunda olmak
die Mütze,"hat, beanie",Goethe A2,Haben Sie rote Mützen?,,"bere, şapka"
nach,"after, to",Goethe A2,Ich fliege nach München.,,"sonra, -e doğru"
der Nachbar,neighbor,Goethe A2,Mein Nachbar kommt aus Brasilien.,,komşu
die Nachricht,"news, message",Goethe A2,Ich sehe abends immer die Nachrichten.,,"haber, mesaj"
nächste,next,Goethe A2,Sehen wir uns nächste Woche?,,sonraki
die Nähe,vicinity,Goethe A2,Die Post ist in der Nähe vom Bahnhof.,,yakınlık
der Name,name,Goethe A2,Mein Name ist Thomas Schmidt.,,isim
nass,wet,Goethe A2,Du bist ja ganz nass.,,ıslak
die Natur,nature,Goethe A2,Ich bin gern draußen in der Natur.,,doğa
natürlich,of course,Goethe A2,Natürlich helfen wir dir.,,"tabii ki, doğal olarak"
neben,next to,Goethe A2,Die Apotheke ist neben der Post.,,yanında
nebenan,next door,Goethe A2,Das ist José. Er wohnt nebenan.,,bitişikte
neblig,foggy,Goethe A2,Fahr vorsichtig! Es ist neblig.,,sisli
nehmen,to take,Goethe A2,Ich nehme den Bus.,,almak
