de,en,cat,ex,pos,tr
die Wohnung,apartment,Top-Nomen: Zuhause & Alltag,,n,daire
das Zimmer,room,Top-Nomen: Zuhause & Alltag,,n,oda
die Tür,door,Top-Nomen: Zuhause & Alltag,,n,kapı
das Fenster,window,Top-Nomen: Zuhause & Alltag,,n,pencere
der Tisch,table,Top-Nomen: Zuhause & Alltag,,n,masa
der Stuhl,chair,Top-Nomen: Zuhause & Alltag,,n,sandalye
das Bett,bed,Top-Nomen: Zuhause & Alltag,,n,yatak
der Schrank,"closet, cupboard",Top-Nomen: Zuhause & Alltag,,n,dolap
die Küche,kitchen,Top-Nomen: Zuhause & Alltag,,n,mutfak
das Bad,bathroom,Top-Nomen: Zuhause & Alltag,,n,banyo
der Garten,garden,Top-Nomen: Zuhause & Alltag,,n,bahçe
die Straße,street,Top-Nomen: Zuhause & Alltag,,n,"sokak, cadde"
die Stadt,city,Top-Nomen: Zuhause & Alltag,,n,şehir
das Dorf,village,Top-Nomen: Zuhause & Alltag,,n,köy
das Land,"country, land",Top-Nomen: Zuhause & Alltag,,n,"ülke, kara"
die Welt,world,Top-Nomen: Zuhause & Alltag,,n,dünya
der Ort,place,Top-Nomen: Zuhause & Alltag,,n,yer
der Platz,"square, space, seat",Top-Nomen: Zuhause & Alltag,,n,"meydan, yer, koltuk"
der Weg,"way, path",Top-Nomen: Zuhause & Alltag,,n,yol
die Richtung,direction,Top-Nomen: Zuhause & Alltag,,n,yön
die Adresse,address,Top-Nomen: Zuhause & Alltag,,n,adres
der Schlüssel,key,Top-Nomen: Zuhause & Alltag,,n,anahtar
das Licht,light,Top-Nomen: Zuhause & Alltag,,n,ışık
die Tasche,"bag, pocket",Top-Nomen: Zuhause & Alltag,,n,"çanta, cep"
der Koffer,suitcase,Top-Nomen: Zuhause & Alltag,,n,bavul
das Geld,money,Top-Nomen: Zuhause & Alltag,,n,para
die Zeit,time,Top-Nomen: Zuhause & Alltag,,n,zaman
der Tag,day,Top-Nomen: Zuhause & Alltag,,n,gün
die Woche,week,Top-Nomen: Zuhause & Alltag,,n,hafta
der Monat,month,Top-Nomen: Zuhause & Alltag,,n,ay
das Jahr,year,Top-Nomen: Zuhause & Alltag,,n,yıl
die Stunde,hour,Top-Nomen: Zuhause & Alltag,,n,saat (süre)
die Minute,minute,Top-Nomen: Zuhause & Alltag,,n,dakika
die Sekunde,second,Top-Nomen: Zuhause & Alltag,,n,saniye
der Morgen,morning,Top-Nomen: Zuhause & Alltag,,n,sabah
der Abend,evening,Top-Nomen: Zuhause & Alltag,,n,akşam
die Nacht,night,Top-Nomen: Zuhause & Alltag,,n,gece
der Mittag,noon,Top-Nomen: Zuhause & Alltag,,n,öğlen
das Wochenende,weekend,Top-Nomen: Zuhause & Alltag,,n,hafta sonu
der Urlaub,vacation,Top-Nomen: Zuhause & Alltag,,n,tatil (izin)
die Ferien,school holidays,Top-Nomen: Zuhause & Alltag,,n,okul tatili
die Arbeit,work,Top-Nomen: Zuhause & Alltag,,n,iş
der Beruf,profession,Top-Nomen: Zuhause & Alltag,,n,meslek
die Firma,company,Top-Nomen: Zuhause & Alltag,,n,şirket
das Büro,office,Top-Nomen: Zuhause & Alltag,,n,ofis
die Schule,school,Top-Nomen: Zuhause & Alltag,,n,okul
die Universität,university,Top-Nomen: Zuhause & Alltag,,n,üniversite
der Unterricht,"class, lesson",Top-Nomen: Zuhause & Alltag,,n,ders
die Prüfung,exam,Top-Nomen: Zuhause & Alltag,,n,sınav
die Aufgabe,"task, exercise",Top-Nomen: Zuhause & Alltag,,n,"görev, alıştırma"
das Problem,problem,Top-Nomen: Zuhause & Alltag,,n,sorun
die Lösung,solution,Top-Nomen: Zuhause & Alltag,,n,çözüm
die Idee,idea,Top-Nomen: Zuhause & Alltag,,n,fikir
der Plan,plan,Top-Nomen: Zuhause & Alltag,,n,plan
das Ziel,goal,Top-Nomen: Zuhause & Alltag,,n,hedef
der Erfolg,success,Top-Nomen: Zuhause & Alltag,,n,başarı
der Fehler,mistake,Top-Nomen: Zuhause & Alltag,,n,hata
die Frage,question,Top-Nomen: Zuhause & Alltag,,n,soru
die Antwort,answer,Top-Nomen: Zuhause & Alltag,,n,cevap
der Grund,reason,Top-Nomen: Zuhause & Alltag,,n,sebep
das Beispiel,example,Top-Nomen: Zuhause & Alltag,,n,örnek
die Information,information,Top-Nomen: Zuhause & Alltag,,n,bilgi
die Nachricht,"news, message",Top-Nomen: Zuhause & Alltag,,n,"haber, mesaj"
der Brief,letter,Top-Nomen: Zuhause & Alltag,,n,mektup
das Telefon,telephone,Top-Nomen: Zuhause & Alltag,,n,telefon
der Computer,computer,Top-Nomen: Zuhause & Alltag,,n,bilgisayar
das Internet,internet,Top-Nomen: Zuhause & Alltag,,n,internet
die E-Mail,email,Top-Nomen: Zuhause & Alltag,,n,e-posta
die Website,website,Top-Nomen: Zuhause & Alltag,,n,web sitesi
das Foto,photo,Top-Nomen: Zuhause & Alltag,,n,fotoğraf
das Bild,"picture, image",Top-Nomen: Zuhause & Alltag,,n,"resim, görüntü"
die Musik,music,Top-Nomen: Zuhause & Alltag,,n,müzik
der Film,movie,Top-Nomen: Zuhause & Alltag,,n,film
das Buch,book,Top-Nomen: Zuhause & Alltag,,n,kitap
die Zeitung,newspaper,Top-Nomen: Zuhause & Alltag,,n,gazete
der Artikel,article,Top-Nomen: Zuhause & Alltag,,n,makale
die Geschichte,"story, history",Top-Nomen: Zuhause & Alltag,,n,"hikaye, tarih"
die Sprache,language,Top-Nomen: Zuhause & Alltag,,n,dil
das Wort,word,Top-Nomen: Zuhause & Alltag,,n,kelime
der Satz,sentence,Top-Nomen: Zuhause & Alltag,,n,cümle
die Bedeutung,meaning,Top-Nomen: Zuhause & Alltag,,n,anlam
das Essen,"food, meal",Top-Nomen: Essen & Trinken,,n,yemek
das Frühstück,breakfast,Top-Nomen: Essen & Trinken,,n,kahvaltı
das Mittagessen,lunch,Top-Nomen: Essen & Trinken,,n,öğle yemeği
das Abendessen,dinner,Top-Nomen: Essen & Trinken,,n,akşam yemeği
das Brot,bread,Top-Nomen: Essen & Trinken,,n,ekmek
die Butter,butter,Top-Nomen: Essen & Trinken,,n,tereyağı
der Käse,cheese,Top-Nomen: Essen & Trinken,,n,peynir
das Ei,egg,Top-Nomen: Essen & Trinken,,n,yumurta
die Milch,milk,Top-Nomen: Essen & Trinken,,n,süt
der Zucker,sugar,Top-Nomen: Essen & Trinken,,n,şeker
das Salz,salt,Top-Nomen: Essen & Trinken,,n,tuz
der Pfeffer,pepper,Top-Nomen: Essen & Trinken,,n,karabiber
das Fleisch,meat,Top-Nomen: Essen & Trinken,,n,et
der Fisch,fish,Top-Nomen: Essen & Trinken,,n,balık
das Gemüse,vegetables,Top-Nomen: Essen & Trinken,,n,sebze
das Obst,fruit,Top-Nomen: Essen & Trinken,,n,meyve
der Apfel,apple,Top-Nomen: Essen & Trinken,,n,elma
die Banane,banana,Top-Nomen: Essen & Trinken,,n,muz
die Kartoffel,potato,Top-Nomen: Essen & Trinken,,n,patates
die Tomate,tomato,Top-Nomen: Essen & Trinken,,n,domates
der Reis,rice,Top-Nomen: Essen & Trinken,,n,pirinç
die Nudel,"noodle, pasta",Top-Nomen: Essen & Trinken,,n,"makarna, erişte"
die Suppe,soup,Top-Nomen: Essen & Trinken,,n,çorba
der Salat,salad,Top-Nomen: Essen & Trinken,,n,salata
der Kuchen,cake,Top-Nomen: Essen & Trinken,,n,"pasta, kek"
die Schokolade,chocolate,Top-Nomen: Essen & Trinken,,n,çikolata
das Wasser,water,Top-Nomen: Essen & Trinken,,n,su
der Saft,juice,Top-Nomen: Essen & Trinken,,n,meyve suyu
der Kaffee,coffee,Top-Nomen: Essen & Trinken,,n,kahve
der Tee,tea,Top-Nomen: Essen & Trinken,,n,çay
das Bier,beer,Top-Nomen: Essen & Trinken,,n,bira
der Wein,wine,Top-Nomen: Essen & Trinken,,n,şarap
das Restaurant,restaurant,Top-Nomen: Essen & Trinken,,n,restoran
das Café,café,Top-Nomen: Essen & Trinken,,n,kafe
die Speisekarte,menu,Top-Nomen: Essen & Trinken,,n,menü
die Rechnung,bill,Top-Nomen: Essen & Trinken,,n,hesap
das Trinkgeld,tip,Top-Nomen: Essen & Trinken,,n,bahşiş
der Teller,plate,Top-Nomen: Essen & Trinken,,n,tabak
die Tasse,cup,Top-Nomen: Essen & Trinken,,n,fincan
das Glas,glass,Top-Nomen: Essen & Trinken,,n,bardak
die Gabel,fork,Top-Nomen: Essen & Trinken,,n,çatal
das Messer,knife,Top-Nomen: Essen & Trinken,,n,bıçak
der Löffel,spoon,Top-Nomen: Essen & Trinken,,n,kaşık
der Kopf,head,Top-Nomen: Körper & Gesundheit,,n,baş
das Gesicht,face,Top-Nomen: Körper & Gesundheit,,n,yüz
das Auge,eye,Top-Nomen: Körper & Gesundheit,,n,göz
die Nase,nose,Top-Nomen: Körper & Gesundheit,,n,burun
der Mund,mouth,Top-Nomen: Körper & Gesundheit,,n,ağız
das Ohr,ear,Top-Nomen: Körper & Gesundheit,,n,kulak
das Haar,hair,Top-Nomen: Körper & Gesundheit,,n,saç
der Hals,"neck, throat",Top-Nomen: Körper & Gesundheit,,n,"boyun, boğaz"
die Schulter,shoulder,Top-Nomen: Körper & Gesundheit,,n,omuz
der Arm,arm,Top-Nomen: Körper & Gesundheit,,n,kol
die Hand,hand,Top-Nomen: Körper & Gesundheit,,n,el
der Finger,finger,Top-Nomen: Körper & Gesundheit,,n,parmak
das Bein,leg,Top-Nomen: Körper & Gesundheit,,n,bacak
der Fuß,foot,Top-Nomen: Körper & Gesundheit,,n,ayak
der Rücken,back,Top-Nomen: Körper & Gesundheit,,n,sırt
der Bauch,"stomach, belly",Top-Nomen: Körper & Gesundheit,,n,karın
das Herz,heart,Top-Nomen: Körper & Gesundheit,,n,kalp
das Blut,blood,Top-Nomen: Körper & Gesundheit,,n,kan
die Haut,skin,Top-Nomen: Körper & Gesundheit,,n,deri
der Knochen,bone,Top-Nomen: Körper & Gesundheit,,n,kemik
der Schmerz,pain,Top-Nomen: Körper & Gesundheit,,n,ağrı
das Fieber,fever,Top-Nomen: Körper & Gesundheit,,n,ateş (hastalık)
die Erkältung,cold (illness),Top-Nomen: Körper & Gesundheit,,n,soğuk algınlığı
der Husten,cough,Top-Nomen: Körper & Gesundheit,,n,öksürük
die Verletzung,injury,Top-Nomen: Körper & Gesundheit,,n,yaralanma
die Medizin,medicine,Top-Nomen: Körper & Gesundheit,,n,"ilaç, tıp"
die Tablette,pill,Top-Nomen: Körper & Gesundheit,,n,hap
das Krankenhaus,hospital,Top-Nomen: Körper & Gesundheit,,n,hastane
die Apotheke,pharmacy,Top-Nomen: Körper & Gesundheit,,n,eczane
der Termin,appointment,Top-Nomen: Körper & Gesundheit,,n,randevu
die Behandlung,treatment,Top-Nomen: Körper & Gesundheit,,n,tedavi
die Versicherung,insurance,Top-Nomen: Körper & Gesundheit,,n,sigorta
das Auto,car,Top-Nomen: Verkehr & Reisen,,n,araba
der Bus,bus,Top-Nomen: Verkehr & Reisen,,n,otobüs
der Zug,train,Top-Nomen: Verkehr & Reisen,,n,tren
die Bahn,"railway, train",Top-Nomen: Verkehr & Reisen,,n,"demiryolu, tren"
das Flugzeug,airplane,Top-Nomen: Verkehr & Reisen,,n,uçak
das Fahrrad,bicycle,Top-Nomen: Verkehr & Reisen,,n,bisiklet
das Schiff,ship,Top-Nomen: Verkehr & Reisen,,n,gemi
der Bahnhof,train station,Top-Nomen: Verkehr & Reisen,,n,tren istasyonu
der Flughafen,airport,Top-Nomen: Verkehr & Reisen,,n,havalimanı
die Haltestelle,(bus/tram) stop,Top-Nomen: Verkehr & Reisen,,n,durak
das Ticket,ticket,Top-Nomen: Verkehr & Reisen,,n,bilet
die Fahrkarte,ticket (transport),Top-Nomen: Verkehr & Reisen,,n,bilet (ulaşım)
der Fahrplan,timetable,Top-Nomen: Verkehr & Reisen,,n,sefer tarifesi
die Verspätung,delay,Top-Nomen: Verkehr & Reisen,,n,gecikme
die Ankunft,arrival,Top-Nomen: Verkehr & Reisen,,n,varış
die Abfahrt,departure,Top-Nomen: Verkehr & Reisen,,n,kalkış
die Strecke,"route, distance",Top-Nomen: Verkehr & Reisen,,n,"güzergah, mesafe"
die Geschwindigkeit,speed,Top-Nomen: Verkehr & Reisen,,n,hız
die Kreuzung,intersection,Top-Nomen: Verkehr & Reisen,,n,kavşak
die Ampel,traffic light,Top-Nomen: Verkehr & Reisen,,n,trafik ışığı
der Parkplatz,parking lot,Top-Nomen: Verkehr & Reisen,,n,otopark
die Reise,"trip, journey",Top-Nomen: Verkehr & Reisen,,n,yolculuk
der Tourist,tourist (m.),Top-Nomen: Verkehr & Reisen,,n,turist
das Hotel,hotel,Top-Nomen: Verkehr & Reisen,,n,otel
die Grenze,border,Top-Nomen: Verkehr & Reisen,,n,sınır
der Pass,passport,Top-Nomen: Verkehr & Reisen,,n,pasaport
das Gepäck,luggage,Top-Nomen: Verkehr & Reisen,,n,bagaj
das Wetter,weather,Top-Nomen: Natur & Wetter,,n,hava durumu
die Sonne,sun,Top-Nomen: Natur & Wetter,,n,güneş
der Regen,rain,Top-Nomen: Natur & Wetter,,n,yağmur
der Schnee,snow,Top-Nomen: Natur & Wetter,,n,kar
der Wind,wind,Top-Nomen: Natur & Wetter,,n,rüzgar
die Wolke,cloud,Top-Nomen: Natur & Wetter,,n,bulut
der Himmel,sky,Top-Nomen: Natur & Wetter,,n,gökyüzü
die Temperatur,temperature,Top-Nomen: Natur & Wetter,,n,sıcaklık
die Kälte,cold,Top-Nomen: Natur & Wetter,,n,soğuk
die Hitze,heat,Top-Nomen: Natur & Wetter,,n,sıcaklık (yüksek)
der Berg,mountain,Top-Nomen: Natur & Wetter,,n,dağ
der Wald,forest,Top-Nomen: Natur & Wetter,,n,orman
der Fluss,river,Top-Nomen: Natur & Wetter,,n,nehir
der See,lake,Top-Nomen: Natur & Wetter,,n,göl
das Meer,sea,Top-Nomen: Natur & Wetter,,n,deniz
die Insel,island,Top-Nomen: Natur & Wetter,,n,ada
der Strand,beach,Top-Nomen: Natur & Wetter,,n,plaj
der Baum,tree,Top-Nomen: Natur & Wetter,,n,ağaç
die Blume,flower,Top-Nomen: Natur & Wetter,,n,çiçek
das Gras,grass,Top-Nomen: Natur & Wetter,,n,çim
das Tier,animal,Top-Nomen: Natur & Wetter,,n,hayvan
der Hund,dog,Top-Nomen: Natur & Wetter,,n,köpek
die Katze,cat,Top-Nomen: Natur & Wetter,,n,kedi
der Vogel,bird,Top-Nomen: Natur & Wetter,,n,kuş
der Frühling,spring,Top-Nomen: Natur & Wetter,,n,ilkbahar
der Sommer,summer,Top-Nomen: Natur & Wetter,,n,yaz
der Herbst,autumn,Top-Nomen: Natur & Wetter,,n,sonbahar
der Winter,winter,Top-Nomen: Natur & Wetter,,n,kış
die Umwelt,environment,Top-Nomen: Natur & Wetter,,n,çevre
die Natur,nature,Top-Nomen: Natur & Wetter,,n,doğa
die Gesellschaft,society,Top-Nomen: Gesellschaft & Abstraktes,,n,toplum
die Regierung,government,Top-Nomen: Gesellschaft & Abstraktes,,n,hükümet
der Staat,state,Top-Nomen: Gesellschaft & Abstraktes,,n,devlet
das Gesetz,law,Top-Nomen: Gesellschaft & Abstraktes,,n,kanun
das Recht,"right, law",Top-Nomen: Gesellschaft & Abstraktes,,n,"hak, hukuk"
die Pflicht,"duty, obligation",Top-Nomen: Gesellschaft & Abstraktes,,n,"görev, yükümlülük"
die Politik,politics,Top-Nomen: Gesellschaft & Abstraktes,,n,siyaset
die Wirtschaft,economy,Top-Nomen: Gesellschaft & Abstraktes,,n,ekonomi
der Markt,market,Top-Nomen: Gesellschaft & Abstraktes,,n,pazar
die Steuer,tax,Top-Nomen: Gesellschaft & Abstraktes,,n,vergi
der Krieg,war,Top-Nomen: Gesellschaft & Abstraktes,,n,savaş
der Frieden,peace,Top-Nomen: Gesellschaft & Abstraktes,,n,barış
die Religion,religion,Top-Nomen: Gesellschaft & Abstraktes,,n,din
die Kultur,culture,Top-Nomen: Gesellschaft & Abstraktes,,n,kültür
die Kunst,art,Top-Nomen: Gesellschaft & Abstraktes,,n,sanat
die Wissenschaft,science,Top-Nomen: Gesellschaft & Abstraktes,,n,bilim
die Technik,technology,Top-Nomen: Gesellschaft & Abstraktes,,n,teknoloji
die Entwicklung,development,Top-Nomen: Gesellschaft & Abstraktes,,n,gelişim
die Zukunft,future,Top-Nomen: Gesellschaft & Abstraktes,,n,gelecek
die Vergangenheit,past,Top-Nomen: Gesellschaft & Abstraktes,,n,geçmiş
die Gegenwart,present,Top-Nomen: Gesellschaft & Abstraktes,,n,şimdiki zaman
die Wahrheit,truth,Top-Nomen: Gesellschaft & Abstraktes,,n,"gerçek, doğruluk"
die Lüge,lie,Top-Nomen: Gesellschaft & Abstraktes,,n,yalan
die Freiheit,freedom,Top-Nomen: Gesellschaft & Abstraktes,,n,özgürlük
die Sicherheit,"safety, security",Top-Nomen: Gesellschaft & Abstraktes,,n,güvenlik
die Gefahr,danger,Top-Nomen: Gesellschaft & Abstraktes,,n,tehlike
das Risiko,risk,Top-Nomen: Gesellschaft & Abstraktes,,n,risk
die Verantwortung,responsibility,Top-Nomen: Gesellschaft & Abstraktes,,n,sorumluluk
die Entscheidung,decision,Top-Nomen: Gesellschaft & Abstraktes,,n,karar
die Meinung,opinion,Top-Nomen: Gesellschaft & Abstraktes,,n,"görüş, fikir"
der Unterschied,difference,Top-Nomen: Gesellschaft & Abstraktes,,n,fark
die Ähnlichkeit,similarity,Top-Nomen: Gesellschaft & Abstraktes,,n,benzerlik
die Beziehung,relationship,Top-Nomen: Gesellschaft & Abstraktes,,n,ilişki
die Liebe,love,Top-Nomen: Gesellschaft & Abstraktes,,n,aşk
der Hass,hate,Top-Nomen: Gesellschaft & Abstraktes,,n,nefret
die Angst,fear,Top-Nomen: Gesellschaft & Abstraktes,,n,korku
die Freude,joy,Top-Nomen: Gesellschaft & Abstraktes,,n,sevinç
die Wut,anger,Top-Nomen: Gesellschaft & Abstraktes,,n,öfke
die Hoffnung,hope,Top-Nomen: Gesellschaft & Abstraktes,,n,umut
der Traum,dream,Top-Nomen: Gesellschaft & Abstraktes,,n,"rüya, hayal"
der Zweifel,doubt,Top-Nomen: Gesellschaft & Abstraktes,,n,şüphe
die Geduld,patience,Top-Nomen: Gesellschaft & Abstraktes,,n,sabır
der Mut,courage,Top-Nomen: Gesellschaft & Abstraktes,,n,cesaret
die Ehrlichkeit,honesty,Top-Nomen: Gesellschaft & Abstraktes,,n,dürüstlük
die Macht,power,Top-Nomen: Gesellschaft & Abstraktes,,n,"güç, iktidar"
der Einfluss,influence,Top-Nomen: Gesellschaft & Abstraktes,,n,etki
der Erfolg,success,Top-Nomen: Gesellschaft & Abstraktes,,n,başarı
die Niederlage,defeat,Top-Nomen: Gesellschaft & Abstraktes,,n,yenilgi
gut,good,Top-Adjektive,,adj,iyi
schlecht,bad,Top-Adjektive,,adj,kötü
groß,"big, tall",Top-Adjektive,,adj,"büyük, uzun (boy)"
klein,small,Top-Adjektive,,adj,küçük
neu,new,Top-Adjektive,,adj,yeni
alt,old,Top-Adjektive,,adj,"eski, yaşlı"
jung,young,Top-Adjektive,,adj,genç
schön,beautiful,Top-Adjektive,,adj,güzel
hässlich,ugly,Top-Adjektive,,adj,çirkin
lang,long,Top-Adjektive,,adj,uzun
kurz,short,Top-Adjektive,,adj,kısa
hoch,"high, tall",Top-Adjektive,,adj,yüksek
niedrig,low,Top-Adjektive,,adj,"alçak, düşük"
breit,wide,Top-Adjektive,,adj,geniş
schmal,narrow,Top-Adjektive,,adj,dar
schwer,"heavy, difficult",Top-Adjektive,,adj,"ağır, zor"
leicht,"light, easy",Top-Adjektive,,adj,"hafif, kolay"
stark,strong,Top-Adjektive,,adj,güçlü
schwach,weak,Top-Adjektive,,adj,zayıf
schnell,fast,Top-Adjektive,,adj,hızlı
langsam,slow,Top-Adjektive,,adj,yavaş
früh,early,Top-Adjektive,,adj,erken
spät,late,Top-Adjektive,,adj,geç
heiß,hot,Top-Adjektive,,adj,sıcak (yüksek)
kalt,cold,Top-Adjektive,,adj,soğuk
warm,warm,Top-Adjektive,,adj,"ılık, sıcak"
kühl,cool,Top-Adjektive,,adj,serin
trocken,dry,Top-Adjektive,,adj,kuru
nass,wet,Top-Adjektive,,adj,ıslak
voll,full,Top-Adjektive,,adj,dolu
leer,empty,Top-Adjektive,,adj,boş
offen,open,Top-Adjektive,,adj,açık
geschlossen,closed,Top-Adjektive,,adj,kapalı
richtig,"right, correct",Top-Adjektive,,adj,doğru
falsch,wrong,Top-Adjektive,,adj,yanlış
wichtig,important,Top-Adjektive,,adj,önemli
unwichtig,unimportant,Top-Adjektive,,adj,önemsiz
einfach,simple,Top-Adjektive,,adj,basit
schwierig,difficult,Top-Adjektive,,adj,zor
interessant,interesting,Top-Adjektive,,adj,ilginç
langweilig,boring,Top-Adjektive,,adj,sıkıcı
lustig,funny,Top-Adjektive,,adj,"komik, eğlenceli"
traurig,sad,Top-Adjektive,,adj,üzgün
glücklich,happy,Top-Adjektive,,adj,mutlu
zufrieden,satisfied,Top-Adjektive,,adj,memnun
müde,tired,Top-Adjektive,,adj,yorgun
hungrig,hungry,Top-Adjektive,,adj,aç
durstig,thirsty,Top-Adjektive,,adj,susamış
gesund,healthy,Top-Adjektive,,adj,sağlıklı
krank,sick,Top-Adjektive,,adj,hasta
stark,strong,Top-Adjektive,,adj,güçlü
freundlich,friendly,Top-Adjektive,,adj,"samimi, güler yüzlü"
unfreundlich,unfriendly,Top-Adjektive,,adj,"soğuk, kaba"
nett,nice,Top-Adjektive,,adj,"sevimli, kibar"
höflich,polite,Top-Adjektive,,adj,nazik
ehrlich,honest,Top-Adjektive,,adj,dürüst
ruhig,"calm, quiet",Top-Adjektive,,adj,"sakin, sessiz"
laut,loud,Top-Adjektive,,adj,gürültülü
leise,"quiet, soft (sound)",Top-Adjektive,,adj,"sessiz, hafif (ses)"
teuer,expensive,Top-Adjektive,,adj,pahalı
billig,cheap,Top-Adjektive,,adj,ucuz
günstig,"affordable, favorable",Top-Adjektive,,adj,"uygun fiyatlı, elverişli"
sauber,clean,Top-Adjektive,,adj,temiz
schmutzig,dirty,Top-Adjektive,,adj,kirli
frisch,fresh,Top-Adjektive,,adj,taze
alt,"old, stale",Top-Adjektive,,adj,"eski, yaşlı"
sicher,"safe, sure",Top-Adjektive,,adj,"güvenli, emin"
gefährlich,dangerous,Top-Adjektive,,adj,tehlikeli
möglich,possible,Top-Adjektive,,adj,mümkün
unmöglich,impossible,Top-Adjektive,,adj,imkansız
nötig,necessary,Top-Adjektive,,adj,gerekli
notwendig,necessary,Top-Adjektive,,adj,"zorunlu, gerekli"
frei,free,Top-Adjektive,,adj,"serbest, boş"
besetzt,"occupied, taken",Top-Adjektive,,adj,"dolu, meşgul"
verschieden,different,Top-Adjektive,,adj,"farklı, çeşitli"
gleich,"same, equal",Top-Adjektive,,adj,"aynı, eşit"
ähnlich,similar,Top-Adjektive,,adj,benzer
normal,normal,Top-Adjektive,,adj,normal
besonders (adj.),special,Top-Adjektive,,adj,özel
typisch,typical,Top-Adjektive,,adj,tipik
seltsam,strange,Top-Adjektive,,adj,"tuhaf, garip"
modern,modern,Top-Adjektive,,adj,modern
traditionell,traditional,Top-Adjektive,,adj,geleneksel
praktisch,practical,Top-Adjektive,,adj,pratik
nützlich,useful,Top-Adjektive,,adj,faydalı
nutzlos,useless,Top-Adjektive,,adj,faydasız
klug,"smart, clever",Top-Adjektive,,adj,"akıllı, zeki"
dumm,stupid,Top-Adjektive,,adj,aptal
intelligent,intelligent,Top-Adjektive,,adj,zeki
kreativ,creative,Top-Adjektive,,adj,yaratıcı
fleißig,hardworking,Top-Adjektive,,adj,çalışkan
faul,lazy,Top-Adjektive,,adj,tembel
pünktlich,punctual,Top-Adjektive,,adj,dakik
zuverlässig,reliable,Top-Adjektive,,adj,güvenilir
mutig,brave,Top-Adjektive,,adj,cesur
ängstlich,"fearful, anxious",Top-Adjektive,,adj,"korkak, endişeli"
stolz,proud,Top-Adjektive,,adj,gururlu
eifersüchtig,jealous,Top-Adjektive,,adj,kıskanç
geduldig,patient,Top-Adjektive,,adj,sabırlı
ungeduldig,impatient,Top-Adjektive,,adj,sabırsız
vorsichtig,careful,Top-Adjektive,,adj,dikkatli
mutig,courageous,Top-Adjektive,,adj,cesur
ernst,serious,Top-Adjektive,,adj,ciddi
dunkel,dark,Top-Adjektive,,adj,karanlık
hell,"bright, light",Top-Adjektive,,adj,"aydınlık, açık (renk)"
rund,round,Top-Adjektive,,adj,yuvarlak
eckig,angular,Top-Adjektive,,adj,köşeli
flach,flat,Top-Adjektive,,adj,"düz, sığ"
tief,deep,Top-Adjektive,,adj,derin
dick,"thick, fat",Top-Adjektive,,adj,"kalın, şişman"
dünn,thin,Top-Adjektive,,adj,"ince, zayıf"
weich,soft,Top-Adjektive,,adj,yumuşak
hart,hard,Top-Adjektive,,adj,sert
scharf,"sharp, spicy",Top-Adjektive,,adj,"keskin, acı (baharatlı)"
deshalb,therefore,Top-Adverbien & sonstige Verbindungswörter,,adv,bu yüzden
trotzdem,nevertheless,Top-Adverbien & sonstige Verbindungswörter,,adv,yine de
außerdem,furthermore,Top-Adverbien & sonstige Verbindungswörter,,adv,ayrıca
allerdings,however,Top-Adverbien & sonstige Verbindungswörter,,adv,"ama, gelgelelim"
obwohl,although,Top-Adverbien & sonstige Verbindungswörter,,conj,-e rağmen
sobald,as soon as,Top-Adverbien & sonstige Verbindungswörter,,conj,-ir -mez
falls,in case,Top-Adverbien & sonstige Verbindungswörter,,conj,eğer
sodass,so that,Top-Adverbien & sonstige Verbindungswörter,,conj,"öyle ki, böylece"
damit,"so that, in order to",Top-Adverbien & sonstige Verbindungswörter,,conj,-mesi için
zwar,indeed,Top-Adverbien & sonstige Verbindungswörter,,adv,"gerçi, doğrusu"
dennoch,nevertheless,Top-Adverbien & sonstige Verbindungswörter,,adv,yine de
jedoch,however,Top-Adverbien & sonstige Verbindungswörter,,adv,"ancak, fakat"
einerseits,on one hand,Top-Adverbien & sonstige Verbindungswörter,,adv,bir yandan
andererseits,on the other hand,Top-Adverbien & sonstige Verbindungswörter,,adv,öte yandan
schließlich,"finally, after all",Top-Adverbien & sonstige Verbindungswörter,,adv,"sonunda, nihayetinde"
zunächst,"first, initially",Top-Adverbien & sonstige Verbindungswörter,,adv,"önce, ilk olarak"
anschließend,"subsequently, afterward",Top-Adverbien & sonstige Verbindungswörter,,adv,ardından
inzwischen,meanwhile,Top-Adverbien & sonstige Verbindungswörter,,adv,bu arada
gleichzeitig,simultaneously,Top-Adverbien & sonstige Verbindungswörter,,adv,aynı anda
vorher,"before, beforehand",Top-Adverbien & sonstige Verbindungswörter,,adv,önceden
nachher,afterward,Top-Adverbien & sonstige Verbindungswörter,,adv,sonradan
danach,after that,Top-Adverbien & sonstige Verbindungswörter,,adv,ondan sonra
davor,before that,Top-Adverbien & sonstige Verbindungswörter,,adv,ondan önce
übrigens,by the way,Top-Adverbien & sonstige Verbindungswörter,,adv,"bu arada, aklıma gelmişken"
sozusagen,so to speak,Top-Adverbien & sonstige Verbindungswörter,,adv,deyim yerindeyse
nämlich,namely,Top-Adverbien & sonstige Verbindungswörter,,adv,"yani, şöyle ki"
insgesamt,altogether,Top-Adverbien & sonstige Verbindungswörter,,adv,toplamda
ungefähr,approximately,Top-Adverbien & sonstige Verbindungswörter,,adv,yaklaşık
etwa,"about, roughly",Top-Adverbien & sonstige Verbindungswörter,,adv,"yaklaşık, takriben"
mindestens,at least,Top-Adverbien & sonstige Verbindungswörter,,adv,en az
