de,en,cat,ex,pos,tr
das Dorf,village,Goethe B1,Unser Dorf liegt direkt an der Autobahn.,,köy
dort,there,Goethe B1,Dort drüben ist der Bahnhof.,,orada
dorthin,"there, to that place",Goethe B1,Du kannst deine Tasche dorthin stellen.,,oraya
die Dose,"can, tin",Goethe B1,Ich habe noch eine Dose Bohnen.,,"kutu, teneke"
draußen,outside,Goethe B1,Es ist kalt draußen.,,dışarıda
der Dreck,"dirt, filth",Goethe B1,Iss den Apfel nicht! Der lag im Dreck.,,"pislik, kir"
drehen,"to turn, rotate",Goethe B1,Drehen Sie zum Einschalten den Schalter nach rechts.,,"döndürmek, çevirmek"
dringend,urgent,Goethe B1,Ich muss dich dringend sprechen.,,acil
drin / drinnen,"inside, in there",Goethe B1,Wo wollt ihr sitzen? Draußen oder drinnen?,,içeride
die Droge,drug,Goethe B1,Nimmst du etwa Drogen?,,uyuşturucu
die Drogerie,drugstore,Goethe B1,Waschmittel bekommst du in der Drogerie.,,"droğeri, eczane (kozmetik)"
drüben,over there,Goethe B1,Dort drüben ist die Haltestelle.,,"öte yanda, karşıda"
drucken,to print,Goethe B1,Warum hast du den Brief noch nicht ausgedruckt?,,"yazdırmak, basmak"
der Drucker,printer,Goethe B1,Ich brauche einen neuen Drucker.,,yazıcı
drücken,"to press, push",Goethe B1,Sie brauchen nur auf den Knopf zu drücken.,,"basmak, itmek"
der Druck,"pressure, print",Goethe B1,Mit einem Knopfdruck schaltet man das Gerät ein.,,"basınç, baskı"
dumm,"stupid, dumb",Goethe B1,"Entschuldigung, das war dumm von mir.",,"aptal, ahmak"
dunkel,dark,Goethe B1,Um sechs Uhr ist es schon dunkel.,,karanlık
dünn,thin,Goethe B1,Mein Sohn ist sehr dünn.,,"ince, zayıf"
durch,"through, by",Goethe B1,Wir sind durch den Wald gefahren.,,"içinden, aracılığıyla"
durcheinander,"mixed up, confused",Goethe B1,Alle meine Sachen sind durcheinander.,,"karışık, dağınık"
die Durchsage,announcement (public),Goethe B1,"Achtung, eine wichtige Durchsage!",,"anons, duyuru"
der Durchschnitt,average,Goethe B1,Der Durchschnitt der Ausgaben liegt bei 150 Euro.,,ortalama
durchschnittlich,"on average, average",Goethe B1,Die Preise sind um durchschnittlich 6 % gestiegen.,,ortalama olarak
dürfen,"to be allowed to, may",Goethe B1,Dürfen wir heute länger fernsehen?,,"izni olmak, -ebilmek"
der Durst,thirst,Goethe B1,Ich hole Ihnen etwas zu trinken. Sie haben sicher Durst.,,susuzluk
durstig,thirsty,Goethe B1,Du bist sicher durstig.,,susamış
sich duschen,to shower,Goethe B1,Wenn Sie sich duschen wollen.,,duş almak
die Dusche,shower,Goethe B1,Wir haben leider nur noch ein Zimmer mit Dusche.,,duş
duzen,to address informally (du),Goethe B1,Wollen wir Du zueinander sagen?,,sen demek (samimi hitap)
eben,"just, just now, exactly",Goethe B1,Ich bin eben erst angekommen.,,"az önce, tam"
ebenfalls,"likewise, as well",Goethe B1,"Ich wünsche Ihnen ein schönes Wochenende. – Danke, ebenfalls.",,"aynı şekilde, de"
ebenso,"likewise, just as",Goethe B1,"Schöne Feiertage. – Danke, ebenso.",,aynı şekilde
die e-card,health insurance card (AT),Goethe B1,Haben Sie Ihre e-card dabei?,,sigorta kartı (Avusturya)
echt,"real, genuine",Goethe B1,Ich träume von einem echten Perserteppich.,,"gerçek, hakiki"
eilen,"to hurry, rush",Goethe B1,Es eilt sehr. Bitte machen Sie schnell.,,acele etmek
die Eile,"hurry, rush",Goethe B1,Ich bin sehr in Eile.,,acele
eilig,"urgent, in a hurry",Goethe B1,Hast du es eilig?,,"acelesi olan, acil"
die ec-Karte / EC-Karte,debit card (German),Goethe B1,Sie können auch mit der EC-Karte zahlen.,,banka kartı (Almanya)
die Ecke,corner,Goethe B1,Das Regal stellen wir hier in die Ecke.,,köşe
das Eck,corner (Austrian),Goethe B1,Das Regal stellen wir hier ins Eck.,,köşe (Avusturya)
eckig,"angular, square",Goethe B1,"Ich möchte einen eckigen Tisch, keinen runden.",,"köşeli, kare"
egal,"equal, it doesn't matter",Goethe B1,"Es ist mir ganz egal, was die Leute denken.",,"fark etmez, aynı"
ein-,"one, a",Goethe B1,Ich nehme ein Bier. Willst du auch eins?,,bir
die Einbahnstraße,one-way street,Goethe B1,Die Goethestraße ist jetzt eine Einbahnstraße.,,tek yönlü yol
einbrechen,"to break in, burgle",Goethe B1,Jemand ist in unsere Wohnung eingebrochen.,,"girmek (zorla), hırsızlık"
der Einbrecher / die Einbrecherin,burglar,Goethe B1,Die Einbrecher haben nichts gestohlen.,,hırsız
der Einbruch,"burglary, break-in",Goethe B1,In der Urlaubszeit gibt es viele Wohnungseinbrüche.,,"hırsızlık, soygun"
eindeutig,"clear, unambiguous",Goethe B1,Das Ergebnis ist eindeutig.,,"açık, kesin"
die Ehe,marriage,Goethe B1,Sie hat zwei Kinder aus erster Ehe.,,evlilik
die Ehefrau,wife,Goethe B1,Wie heißt Ihre Ehefrau mit Vornamen?,,"eş (kadın), karı"
der Ehemann,husband,Goethe B1,Wie heißt Ihr Ehemann?,,"eş (erkek), koca"
das Ehepaar,married couple,Goethe B1,Das Ehepaar unter uns hat zwei Kinder.,,evli çift
eher,"rather, earlier, sooner",Goethe B1,Ich stehe meist eher auf als mein Mann.,,"daha çok, daha erken"
ehrlich,honest,Goethe B1,Sie ist ein ehrlicher Mensch.,,dürüst
das Ei,egg,Goethe B1,Möchtest du zum Frühstück ein Ei?,,yumurta
eigen-,"own, one's own",Goethe B1,Fast jedes Kind hat ein eigenes Zimmer.,,"kendi, öz"
eigentlich,"actually, originally",Goethe B1,Wir wollten eigentlich Freunde besuchen.,,"aslında, gerçekte"
sich eignen,to be suitable for,Goethe B1,Dieses Hotel eignet sich besonders für Familien.,,"uygun olmak, elverişli olmak"
der Eindruck,impression,Goethe B1,Wie ist dein Eindruck?,,izlenim
einerseits,on one hand,Goethe B1,"Einerseits möchte ich die Reise gern machen, andererseits ist sie zu teuer.",,bir yandan
einfach,"simple, one-way",Goethe B1,"Hin und zurück? – Nein, bitte nur einfach.",,"basit, tek yön"
die Einfahrt,"driveway, entrance",Goethe B1,Da parkt wieder jemand vor unserer Einfahrt.,,"giriş yolu, garaj girişi"
einfallen,"to occur to, remember",Goethe B1,"Mir ist wieder eingefallen, wie das Buch heißt.",,aklına gelmek
der Einfall,"idea, inspiration",Goethe B1,Sie hat immer gute Einfälle.,,"fikir, ilham"
der Einfluss,influence,Goethe B1,Das Wetter hat Einfluss auf die Gesundheit.,,"etki, nüfuz"
beeinflussen,to influence,Goethe B1,Dieses Ereignis hat die Wahlen beeinflusst.,,etkilemek
einfügen,"to insert, paste",Goethe B1,"Zuerst kopieren, dann einfügen.",,"yapıştırmak, eklemek"
einführen,"to introduce, import",Goethe B1,Dürfen wir diese Ware ins Land einführen?,,"tanıtmak, ithal etmek"
die Einführung,"introduction, import",Goethe B1,Leider habe ich die Einführung des Kurses verpasst.,,"giriş, tanıtım"
der Eingang,entrance,Goethe B1,Das Gebäude hat zwei Eingänge.,,giriş
einheitlich,"uniform, consistent",Goethe B1,Die Schüler tragen einheitliche Kleidung.,,"tek tip, birörnek"
einig-,"some, a few",Goethe B1,In diesem Bericht sind einige Fehler.,,"bazı, birkaç"
sich einigen,"to agree, reach agreement",Goethe B1,Wir können uns leider nicht einigen.,,"anlaşmak, uzlaşmak"
einkaufen,"to shop, go shopping",Goethe B1,Wir gehen einmal pro Woche einkaufen.,,alışveriş yapmak
der Einkauf,"shopping, purchase",Goethe B1,Achten Sie beim Einkauf auf Sonderangebote.,,alışveriş
das Einkommen,income,Goethe B1,Bei einem höheren Einkommen muss man mehr Steuern zahlen.,,gelir
einladen,to invite,Goethe B1,Darf ich Sie zum Essen einladen?,,davet etmek
die Einladung,invitation,Goethe B1,Danke für die Einladung.,,davet
einmal,"once, one time",Goethe B1,Ich habe diese Oper leider nur einmal gesehen.,,"bir kez, bir defa"
einnehmen,to take (medicine),Goethe B1,Wie muss ich die Tropfen einnehmen?,,almak (ilaç)
die Einnahme,"income, revenue, taking (medicine)",Goethe B1,Unsere Einnahmen waren höher als im letzten Monat.,,"gelir, hasılat"
einpacken,"to pack, wrap",Goethe B1,Hast du Handtücher eingepackt?,,"paketlemek, çantaya koymak"
einrichten,"to furnish, set up",Goethe B1,Ich habe meine Wohnung selbst eingerichtet.,,"döşemek, kurmak"
die Einrichtung,"furnishings, facility",Goethe B1,Die Einrichtung deiner Wohnung gefällt mir sehr gut.,,"döşeme, tesis"
einsam,"lonely, isolated",Goethe B1,Ohne meine Familie fühle ich mich einsam.,,yalnız
einschalten,"to turn on, switch on",Goethe B1,Können Sie bitte die Heizung einschalten?,,açmak (cihaz)
einschließlich,including,Goethe B1,Alles zusammen kostet 200 Euro einschließlich Fahrtkosten.,,dahil
das Einschreiben,registered mail,Goethe B1,Ich habe den Brief als Einschreiben geschickt.,,taahhütlü mektup
einsetzen,"to use, deploy, assign",Goethe B1,"Wir müssen jemanden einsetzen, der sich um die Organisation kümmert.",,"kullanmak, görevlendirmek"
einsteigen,"to get in, board",Goethe B1,Ab 20 Uhr vorne beim Fahrer einsteigen.,,binmek (araç)
einstellen,"to hire, set, adjust",Goethe B1,Die Firma wird drei neue Leute einstellen.,,"işe almak, ayarlamak"
eintragen,"to enter, register",Goethe B1,Tragen Sie sich bitte in die Liste ein.,,"listeye yazmak, kaydetmek"
eintreten,"to enter, join",Goethe B1,Letztes Jahr bin ich in einen Sportverein eingetreten.,,"girmek, katılmak"
der Eintritt,"admission, entry",Goethe B1,Kinder über 10 Jahre zahlen den vollen Eintritt.,,giriş (ücret)
einverstanden,"agreed, in agreement",Goethe B1,"Gut, einverstanden!",,"kabul, anlaştık"
der Einwohner / die Einwohnerin,"inhabitant, resident",Goethe B1,Berlin hat über drei Millionen Einwohner.,,"nüfus, ikamet eden"
einzahlen,to deposit (money),Goethe B1,Ich habe gestern Geld auf mein Bankkonto eingezahlt.,,para yatırmak
die Einzahlung,deposit,Goethe B1,Sie sollten die Einzahlung pünktlich machen.,,para yatırma
einzeln,"individual, single, separately",Goethe B1,"Dieses Mineralwasser gibt es nur als Sechserpack, nicht einzeln.",,"tek tek, ayrı ayrı"
die Einzelheit,"detail, particular",Goethe B1,Du musst mir das in allen Einzelheiten erzählen.,,"ayrıntı, detay"
einzig-,"only, sole",Goethe B1,Wir waren die einzigen Gäste.,,"tek, biricik"
einziehen,to move in,Goethe B1,Wir können nächste Woche einziehen.,,taşınmak (eve)
das Eis,"ice, ice cream",Goethe B1,Im Winter gibt es Eis und Schnee.,,"buz, dondurma"
die Eisenbahn,"railway, train",Goethe B1,Die Kinder wünschen sich eine elektrische Eisenbahn.,,"demiryolu, tren"
elegant,elegant,Goethe B1,Ich finde dein Kleid sehr elegant.,,"zarif, şık"
elektrisch,electric,Goethe B1,"Wir kochen nicht mit Gas, sondern elektrisch.",,elektrikli
elektronisch,electronic,Goethe B1,Wir sollten die Daten elektronisch bearbeiten.,,elektronik
die Eltern,parents,Goethe B1,Ich wohne noch bei meinen Eltern.,,"ebeveynler, anne baba"
empfangen,to receive,Goethe B1,Wir können über 30 Programme empfangen.,,"almak, kabul etmek"
enden,"to end, finish",Goethe B1,Die Straße endet hier.,,"bitmek, sona ermek"
das Ende,end,Goethe B1,Ich wohne am Ende der Straße.,,"son, bitiş"
endgültig,"final, definitive",Goethe B1,Damit ist das Problem endgültig gelöst.,,"kesin, nihai"
endlich,"finally, at last",Goethe B1,Endlich haben wir eine schöne Wohnung gefunden.,,"sonunda, artık"
die Energie,energy,Goethe B1,Wir müssen Energie sparen.,,enerji
eng,"tight, narrow",Goethe B1,Die Jacke ist mir zu eng.,,"dar, sıkı"
der Enkel / die Enkelin,grandchild,Goethe B1,Alle meine Enkel gehen schon zur Schule.,,torun
entdecken,"to discover, find",Goethe B1,Ich habe in deinem Brief noch ein paar Fehler entdeckt.,,"keşfetmek, bulmak"
entfernen,to remove,Goethe B1,Der Müll muss dringend entfernt werden.,,"kaldırmak, uzaklaştırmak"
die Entfernung,distance,Goethe B1,Aus dieser Entfernung ist das nicht zu erkennen.,,"mesafe, uzaklık"
entgegenkommen,"to come toward, meet halfway",Goethe B1,Auf dem Weg nach Hause ist mir mein Nachbar entgegengekommen.,,"karşılamak, karşılaşmak"
enthalten,to contain,Goethe B1,Diese Schokolade enthält nur sehr wenig Zucker.,,içermek
entlang,along,Goethe B1,Gehen Sie diese Straße entlang.,,boyunca
entlassen,"to dismiss, discharge",Goethe B1,Wir können Sie nächste Woche aus dem Krankenhaus entlassen.,,"taburcu etmek, işten çıkarmak"
die Entlassung,"dismissal, discharge",Goethe B1,Seine Entlassung aus der Firma kam überraschend.,,"taburculuk, işten çıkarma"
entscheiden,to decide,Goethe B1,Das kann ich nicht allein entscheiden.,,karar vermek
die Entscheidung,decision,Goethe B1,Diese wichtige Entscheidung möchte ich besprechen.,,karar
unentschieden,"undecided, draw (match)",Goethe B1,Es steht unentschieden zwischen den beiden Mannschaften.,,"beraberlik, kararsız"
sich entschließen,"to decide, resolve",Goethe B1,"Mein Nachbar hat sich entschlossen, sein Auto zu verkaufen.",,"karar vermek, kararlı olmak"
entschuldigen,"to excuse, apologize",Goethe B1,"Entschuldigen Sie bitte, dass ich Sie störe.",,özür dilemek
die Entschuldigung,"apology, excuse",Goethe B1,"Oh, Entschuldigung! – Macht nichts.",,özür
entsorgen,to dispose of,Goethe B1,Wie kann ich meine alte Kaffeemaschine entsorgen?,,"elden çıkarmak, atmak"
entspannend,relaxing,Goethe B1,Der Urlaub war sehr entspannend.,,rahatlatıcı
entstehen,"to arise, be created",Goethe B1,Hier entsteht ein neues Einkaufszentrum.,,"oluşmak, ortaya çıkmak"
enttäuschen,to disappoint,Goethe B1,Leider hat mich sein Verhalten enttäuscht.,,hayal kırıklığı yaratmak
die Enttäuschung,disappointment,Goethe B1,Das Endspiel war eine große Enttäuschung.,,hayal kırıklığı
entweder ... oder,either ... or,Goethe B1,"Nur einer kann gewinnen, entweder du oder ich.",,ya ... ya da
entwickeln,to develop,Goethe B1,Unser Sohn entwickelt sich gut in der Schule.,,geliştirmek
die Entwicklung,development,Goethe B1,Genug Schlaf ist wichtig für die Entwicklung Ihres Kindes.,,"gelişme, gelişim"
die Erde,"earth, soil",Goethe B1,Die Pflanzen brauchen neue Erde.,,"toprak, dünya"
der Erdapfel,potato (Austrian),Goethe B1,Kann ich bitte noch Erdäpfel bekommen?,,patates (Avusturya)
das Erdgeschoss,ground floor,Goethe B1,Unsere Wohnung befindet sich im Erdgeschoss.,,zemin kat
das Ereignis,"event, occurrence",Goethe B1,Alle Zeitungen haben über diese Ereignisse berichtet.,,olay
sich ereignen,"to occur, happen",Goethe B1,Der Unfall ereignete sich am frühen Morgen.,,meydana gelmek
erfahren,"to learn, find out / experienced",Goethe B1,Wann erfahren wir das Ergebnis der Prüfung?,,"öğrenmek, deneyimli"
die Erfahrung,experience,Goethe B1,Ich habe zehn Jahre Erfahrung in diesem Beruf.,,"deneyim, tecrübe"
erfinden,to invent,Goethe B1,Das Rad wurde vor ca. 6000 Jahren erfunden.,,icat etmek
die Erfindung,invention,Goethe B1,Die Erfindung des Buchdrucks war sehr wichtig.,,"icat, buluş"
der Erfolg,success,Goethe B1,Der Film war ein großer Erfolg.,,başarı
erfolgreich,successful,Goethe B1,Mein Großvater war ein erfolgreicher Geschäftsmann.,,başarılı
erforderlich,"required, necessary",Goethe B1,Hier ist die Liste der erforderlichen Zutaten.,,"gerekli, zorunlu"
erfordern,"to require, demand",Goethe B1,Dieser Job erfordert viel Kraft.,,gerektirmek
erfüllen,"to fulfill, satisfy",Goethe B1,Sie müssen den Vertrag in allen Punkten erfüllen.,,"yerine getirmek, karşılamak"
ergänzen,"to supplement, complete",Goethe B1,Ergänzen Sie bitte die fehlenden Angaben.,,"tamamlamak, eklemek"
das Ergebnis,"result, outcome",Goethe B1,Ein so gutes Ergebnis hat uns alle überrascht.,,sonuç
erhalten,"to receive, maintain",Goethe B1,Ihr Schreiben vom 3. Januar haben wir erhalten.,,"almak, elde etmek"
erhöhen,"to increase, raise",Goethe B1,Die Regierung wird die Steuern erhöhen.,,"artırmak, yükseltmek"
die Erhöhung,"increase, raise",Goethe B1,Wir streiken für eine Lohnerhöhung.,,"artış, zam"
sich erholen,"to recover, rest",Goethe B1,Im Urlaub habe ich mich sehr gut erholt.,,"iyileşmek, dinlenmek"
die Erholung,"recovery, rest, relaxation",Goethe B1,Jetzt brauche ich etwas Erholung.,,"dinlenme, iyileşme"
erinnern,"to remind, remember",Goethe B1,Bitte erinnern Sie mich noch einmal an den Termin.,,"hatırlatmak, anımsamak"
die Erinnerung,"memory, reminder",Goethe B1,An diese Zeit habe ich viele schöne Erinnerungen.,,"anı, hatıra"
sich erkälten,to catch a cold,Goethe B1,Der Junge hat sich beim Baden erkältet.,,soğuk almak
die Erkältung,cold (illness),Goethe B1,Du hast eine schlimme Erkältung!,,"nezle, soğuk algınlığı"
erkennen,to recognize,Goethe B1,Ich habe Roberto gleich an seiner Stimme erkannt.,,"tanımak, fark etmek"
erklären,to explain,Goethe B1,"Kannst du mir erklären, wie man diesen Apparat bedient?",,açıklamak
die Erklärung,"explanation, declaration",Goethe B1,Hast du schon die Steuererklärung gemacht?,,"açıklama, beyan"
sich erkundigen,"to inquire, ask",Goethe B1,Hast du dich schon nach einem Zug erkundigt?,,"bilgi almak, sormak"
erlauben,"to allow, permit",Goethe B1,"Ich erlaube meinen Kindern nicht, so lange fernzusehen.",,izin vermek
die Erlaubnis,permission,Goethe B1,Sie hätten ihn vorher um Erlaubnis bitten müssen.,,izin
erleben,to experience,Goethe B1,In unserem Urlaub haben wir viel Schönes erlebt.,,"deneyimlemek, yaşamak"
das Erlebnis,"experience, event",Goethe B1,Die Reise war ein tolles Erlebnis.,,"deneyim, anı"
erledigen,"to deal with, handle",Goethe B1,Könntest du das für mich erledigen?,,"halletmek, yapmak"
erleichtern,"to ease, relieve",Goethe B1,"Ich bin erleichtert, dass alles so gut geklappt hat.",,"rahatlatmak, kolaylaştırmak"
die Ermäßigung,"discount, reduction",Goethe B1,Es gibt eine Ermäßigung für Kinder und Senioren.,,indirim
ernähren,"to feed, nourish",Goethe B1,Wie ernähre ich mich richtig?,,"beslemek, beslenmek"
die Ernährung,"nutrition, diet",Goethe B1,Ich finde eine gesunde Ernährung wichtig.,,"beslenme, diyet"
es,it,Goethe B1,Es wurden viele Fragen gestellt.,,"o (zamir), bu"
essen,to eat,Goethe B1,Haben Sie schon zu Mittag gegessen?,,yemek yemek
das Essen,"meal, food",Goethe B1,Darf ich Sie zum Essen einladen?,,yemek
der Essig,vinegar,Goethe B1,Am Salat fehlt noch etwas Essig.,,sirke
die Etage,"floor, storey",Goethe B1,Das Büro ist in der 3. Etage.,,kat (bina)
etwa,"about, approximately",Goethe B1,Von hier sind es etwa zwanzig Kilometer.,,"yaklaşık, herhalde"
etwas,"something, a little",Goethe B1,Ich muss dir etwas erzählen.,,"bir şey, biraz"
eventuell,"possibly, maybe",Goethe B1,Ich komme eventuell etwas später.,,"olasılıkla, belki"
ewig,"eternal, forever",Goethe B1,Ich warte schon ewig!,,"sonsuza dek, çok uzun süredir"
der Experte / die Expertin,expert,Goethe B1,Ich bin kein Experte.,,"uzman, bilirkişi"
der Export,export,Goethe B1,"Hier ist die Firma Schulz, Import und Export.",,ihracat
extra,"extra, additionally",Goethe B1,Die Getränke kosten extra.,,"ayrıca, ekstra"
extrem,"extreme, extremely",Goethe B1,Die Prüfung war extrem schwer.,,"aşırı, son derece"
die Fabrik,factory,Goethe B1,Ich arbeite in einer Autofabrik.,,fabrika
das Fach,"compartment, subject",Goethe B1,Die Handtücher sind im obersten Fach.,,"bölme, ders konusu"
der Fachmann / die Fachfrau / die Fachleute,"specialist, expert",Goethe B1,Die suchen Fachleute für dieses Computerprogramm.,,"uzman, profesyonel"
die Fähigkeit,"ability, skill",Goethe B1,"Man braucht die Fähigkeit, andere zu überzeugen.",,"yetenek, beceri"
fahren,"to drive, travel",Goethe B1,Wir sind mit dem Zug gefahren.,,gitmek (araçla)
die Fähre,ferry,Goethe B1,Wir nehmen die Fähre über den Bodensee.,,feribot
die Fahrbahn,"road, lane",Goethe B1,Es sind Kühe auf der Fahrbahn.,,"yol şeridi, karayolu"
fantastisch,fantastic,Goethe B1,Die Aussicht ist fantastisch!,,"fantastik, harika"
der Fahrer / die Fahrerin,driver,Goethe B1,Die Fahrerin des Wagens wurde nicht verletzt.,,sürücü
die Fahrkarte,ticket (transport),Goethe B1,Fahrkarten bekommt man am Automaten.,,bilet (taşıma)
der Fahrplan,"timetable, schedule",Goethe B1,Der Fahrplan hat sich geändert.,,"zaman çizelgesi, tarife"
das Fahrrad,bicycle,Goethe B1,Sie fährt jeden Morgen mit dem Fahrrad zur Arbeit.,,bisiklet
das Fahrzeug,vehicle,Goethe B1,Wem gehört das Fahrzeug?,,"taşıt, araç"
fair,fair,Goethe B1,Unsere Mannschaft hat sehr fair gespielt.,,"adil, sportif"
der Faktor,factor,Goethe B1,Die Creme hat einen hohen Sonnenschutzfaktor.,,"etken, faktör"
der Fall,"case, fall",Goethe B1,Was würden Sie in diesem Fall tun?,,"durum, dava"
die Farbe,color,Goethe B1,Welche Farbe magst du am liebsten?,,renk
das Faschierte,minced meat (Austrian),Goethe B1,Geben Sie mir bitte 500 g Faschiertes.,,kıyma (Avusturya)
der Fasching / die Fasnacht,carnival,Goethe B1,Dort hängt mein Kostüm für den Faschingsumzug.,,karnaval
fassen,"to catch, grasp",Goethe B1,Sie haben den Dieb gefasst.,,"yakalamak, kavramak"
fast,"almost, nearly",Goethe B1,Das Konzert ist fast zu Ende.,,neredeyse
faul,lazy,Goethe B1,Mein Sohn war am Anfang in der Schule sehr faul.,,tembel
fallen,to fall,Goethe B1,Das Glas ist auf den Boden gefallen.,,düşmek
fällig,due (payment),Goethe B1,Die Rechnung ist Ende des Monats fällig.,,"vadesi dolmuş, ödenecek"
falls,"if, in case",Goethe B1,"Falls es regnet, machen wir kein Picknick.",,"eğer, -irse"
faulenzen,to laze around,Goethe B1,Am Wochenende können wir faulenzen.,,"tembellik yapmak, aylakça gezmek"
der Fauteuil,armchair (Austrian/Swiss),Goethe B1,Ich hätte gern einen bequemen Fauteuil.,,koltuk (Avusturya/İsviçre)
fehlen,"to be missing, lack",Goethe B1,Auf dem Brief fehlt der Absender.,,eksik olmak
falsch,"wrong, false",Goethe B1,Ich habe die falsche Nummer gewählt.,,yanlış
die Familie,family,Goethe B1,Ich habe eine große Familie.,,aile
der Familienstand,marital status,Goethe B1,Bei Familienstand musst du ledig ankreuzen.,,medeni hal
fangen,to catch,Goethe B1,Das Kind hat den Ball gefangen.,,yakalamak
die Fantasie,"imagination, fantasy",Goethe B1,Mein Sohn malt sehr gut. Er hat viel Fantasie.,,"hayal gücü, fantezi"
der Fehler,"mistake, error",Goethe B1,"Ich glaube, da haben Sie einen Fehler gemacht.",,hata
feiern,to celebrate,Goethe B1,Wir haben gestern Karls Geburtstag gefeiert.,,"kutlamak, eğlenmek"
die Feier,"celebration, ceremony",Goethe B1,Es war eine schöne Feier.,,"kutlama, tören"
der Feierabend,"end of work, after work",Goethe B1,Einen schönen Feierabend.,,"mesai sonu, akşam"
der Feiertag,public holiday,Goethe B1,Am Montag ist Feiertag.,,resmi tatil günü
das Feld,field,Goethe B1,Auf diesem Feld wächst Gemüse.,,"tarla, alan"
das Fenster,window,Goethe B1,Darf ich einen Moment das Fenster aufmachen?,,pencere
die Ferien,"holidays, vacation",Goethe B1,Ich habe noch drei Tage Ferien.,,"tatil, okul tatili"
die Fernbedienung,remote control,Goethe B1,Hast du die Fernbedienung gesehen?,,uzaktan kumanda
fernsehen,to watch TV,Goethe B1,Meine Kinder dürfen abends nur eine Stunde fernsehen.,,televizyon izlemek
der Fernseher,"television, TV set",Goethe B1,Der Fernseher ist schon wieder kaputt.,,televizyon
fertig,"ready, done, finished",Goethe B1,Das Essen ist gleich fertig.,,"hazır, bitmiş"
das Fett,"fat, grease",Goethe B1,Man soll nicht so viel Fett essen.,,yağ
feucht,"damp, moist",Goethe B1,Die Wäsche ist noch feucht.,,"nemli, ıslak"
das Feuer,fire,Goethe B1,Der Schaden durch das Feuer war sehr groß.,,"ateş, yangın"
das Feuerzeug,lighter,Goethe B1,Ist das Feuerzeug neu?,,çakmak
die Feuerwehr,"fire department, fire brigade",Goethe B1,Rufen Sie die Feuerwehr!,,itfaiye
das Fieber,fever,Goethe B1,Plötzlich habe ich hohes Fieber bekommen.,,ateş (hastalık)
die Figur,"figure, shape",Goethe B1,Lars hat eine gute Figur.,,"figür, vücut"
der Film,"film, movie",Goethe B1,Den Film musst du dir unbedingt ansehen.,,film
finanzieren,to finance,Goethe B1,"Ich weiß nicht, wie ich das Auto finanzieren soll.",,finanse etmek
finanziell,financial,Goethe B1,Finanziell geht es meinem Neffen jetzt besser.,,"mali, finansal"
das Fest,"party, festival, celebration",Goethe B1,"Wenn ich 18 werde, feiern wir ein großes Fest.",,"şenlik, kutlama"
die Festplatte,hard drive,Goethe B1,Mein Computer hat eine große Festplatte.,,sabit disk
festhalten,"to hold on, hold tight",Goethe B1,Halt dich gut fest.,,"tutunmak, tutmak"
festlegen,"to fix, commit, decide",Goethe B1,Ich möchte mich noch nicht festlegen.,,"belirlemek, karar kılmak"
festnehmen,to arrest,Goethe B1,Die Polizei hat einen Mann festgenommen.,,tutuklamak
festsetzen,"to set, fix (date/price)",Goethe B1,Die Schule hat den Termin für die Prüfung festgesetzt.,,"belirlemek, saptamak"
feststehen,to be fixed/certain,Goethe B1,Der Termin steht seit Langem fest.,,kesinleşmiş olmak
feststellen,"to notice, determine",Goethe B1,"Er hat festgestellt, dass der Absender des Briefes falsch war.",,"fark etmek, tespit etmek"
fett,"fatty, greasy",Goethe B1,Die Wurst ist mir zu fett.,,yağlı
finden,"to find, think",Goethe B1,Meine Tante hat eine gute Arbeit gefunden.,,"bulmak, düşünmek"
der Finger,finger,Goethe B1,Alessandro hat sich in den Finger geschnitten.,,parmak
die Firma,"company, firm",Goethe B1,Seit wann arbeiten Sie bei dieser Firma?,,"şirket, firma"
flach,"flat, shallow",Goethe B1,Für die Arbeit brauche ich flache Schuhe.,,"düz, yassı"
die Fläche,"area, surface",Goethe B1,Unsere Wohnung hat eine Wohnfläche von 100 m².,,"yüzey, alan"
die Flasche,bottle,Goethe B1,Wo kann man die leeren Flaschen zurückgeben?,,şişe
der Fleck,"stain, spot",Goethe B1,Du hast einen Fleck auf der Bluse.,,leke
das Fleisch,meat,Goethe B1,Fleisch mag ich nicht.,,et
der Fleischhauer / die Fleischhauerin,butcher (Austrian),Goethe B1,Dieser Fleischhauer macht sehr gute Wurst.,,kasap (Avusturya)
fleißig,"diligent, hardworking",Goethe B1,Pamela ist wirklich fleißig.,,çalışkan
flexibel,flexible,Goethe B1,Meine Arbeitszeit ist flexibel.,,esnek
fliegen,to fly,Goethe B1,Der Vogel ist auf einen Baum geflogen.,,uçmak
fliehen,"to flee, escape",Goethe B1,Der Einbrecher ist sofort geflohen.,,kaçmak
die Flucht,"escape, flight",Goethe B1,Der Einbrecher war schon auf der Flucht.,,"kaçış, firar"
fließen,to flow,Goethe B1,Dieser Fluss fließt in die Nordsee.,,akmak
fließend,"fluent, flowing",Goethe B1,Mein Kollege spricht fließend Deutsch.,,akıcı
der Flohmarkt,flea market,Goethe B1,Diesen Hut habe ich am Flohmarkt gekauft.,,bit pazarı
die Flöte,flute,Goethe B1,Sie spielt sehr schön Flöte.,,flüt
der Flug,flight,Goethe B1,Ich habe den Flug für Sie gebucht.,,uçuş
